Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,4sp03,9854,12.177,242967,665,-0.068,-0.025,2015,4sp03,9854,12.177,242967,665,-0.068,-0.025
2015,4sp04,24316,12.190,627703,1528,-0.081,-0.025,2015,4sp04,24316,12.190,627703,1528,-0.081,-0.025
2015,4sp05,6331,12.158,154434,547,-0.073,-0.027,2015,4sp05,6331,12.158,154434,547,-0.073,-0.027
2015,4sp06,4028,12.167,97652,408,-0.053,-0.019,2015,4sp06,4028,12.167,97652,408,-0.053,-0.019
2015,4sp07,18564,12.195,488866,1223,-0.064,-0.017,2015,4sp07,18564,12.195,488866,1223,-0.064,-0.017
2015,4sp08,2763,12.204,69690,187,-0.069,-0.031,2015,4sp08,2763,12.204,69690,187,-0.069,-0.031
2015,4sp09,138252,12.215,3817856,6843,-0.081,-0.023,2015,4sp09,138252,12.215,3817856,6843,-0.081,-0.023
2015,4sp10,8807,12.204,230044,568,-0.075,-0.026,2015,4sp10,8807,12.204,230044,568,-0.075,-0.026
2015,4sp11,5375,12.209,129385,438,-0.070,-0.037,2015,4sp11,5375,12.209,129385,438,-0.070,-0.037
2015,4sp12,15733,12.193,392955,1012,-0.070,-0.027,2015,4sp12,15733,12.193,392955,1012,-0.070,-0.027
2015,4sp13,9652,12.139,235904,678,-0.068,-0.024,2015,4sp13,9652,12.139,235904,678,-0.068,-0.024
2015,4sp14,16040,12.169,404215,1173,-0.094,-0.028,2015,4sp14,16040,12.169,404215,1173,-0.094,-0.028
2015,5pr00,2600,12.342,56663,252,-0.025,-0.041,2015,5pr00,2600,12.342,56663,252,-0.025,-0.041
2015,5pr01,5708,11.999,143497,492,-0.049,-0.020,2015,5pr01,5708,11.999,143497,492,-0.049,-0.020
2015,5pr02,5362,12.126,113237,514,-0.051,-0.033,2015,5pr02,5362,12.126,113237,514,-0.051,-0.033
2015,5pr03,25430,12.077,668671,1642,-0.040,-0.018,2015,5pr03,25430,12.077,668671,1642,-0.040,-0.018
2015,5pr04,4934,12.165,115731,439,-0.022,-0.025,2015,5pr04,4934,12.165,115731,439,-0.022,-0.025
2015,5pr05,14198,12.222,344953,1095,-0.045,-0.021,2015,5pr05,14198,12.222,344953,1095,-0.045,-0.021
2015,5pr06,4532,12.436,96573,459,-0.035,-0.037,2015,5pr06,4532,12.436,96573,459,-0.035,-0.037
2015,5pr07,9762,12.142,228897,781,-0.038,-0.023,2015,5pr07,9762,12.142,228897,781,-0.038,-0.023
2015,5pr08,3551,12.096,78381,419,-0.050,-0.028,2015,5pr08,3551,12.096,78381,419,-0.050,-0.028
2015,5pr09,4300,12.165,90138,452,-0.038,-0.027,2015,5pr09,4300,12.165,90138,452,-0.038,-0.027
2015,5rs00,4289,12.540,81155,363,-0.094,-0.040,2015,5rs00,4289,12.540,81155,363,-0.094,-0.040
2015,5rs01,6342,12.410,117362,667,-0.070,-0.029,2015,5rs01,6342,12.410,117362,667,-0.070,-0.029
2015,5rs02,34008,12.457,794573,2106,-0.070,-0.029,2015,5rs02,34008,12.457,794573,2106,-0.070,-0.029
2015,5rs03,7676,12.317,163416,626,-0.044,-0.022,2015,5rs03,7676,12.317,163416,626,-0.044,-0.022
2015,5rs04,17130,12.504,297073,1696,-0.068,-0.038,2015,5rs04,17130,12.504,297073,1696,-0.068,-0.038
2015,5rs05,7476,12.646,146600,594,-0.068,-0.033,2015,5rs05,7476,12.646,146600,594,-0.068,-0.033
2015,5rs06,6153,12.674,122426,460,-0.067,-0.040,2015,5rs06,6153,12.674,122426,460,-0.067,-0.040
2015,5sc00,6756,12.346,165441,436,-0.032,-0.005,2015,5sc00,6756,12.346,165441,436,-0.032,-0.005
2015,5sc01,9042,12.203,219308,568,-0.076,-0.016,2015,5sc01,9042,12.203,219308,568,-0.076,-0.016
2015,5sc02,9831,12.282,201572,827,-0.067,-0.030,2015,5sc02,9831,12.282,201572,827,-0.067,-0.030
2015,5sc03,3483,12.204,72772,337,-0.059,-0.026,2015,5sc03,3483,12.204,72772,337,-0.059,-0.026
2015,5sc04,7195,12.229,153993,554,-0.049,-0.020,2015,5sc04,7195,12.229,153993,554,-0.049,-0.020
2015,5sc05,11076,12.134,266943,705,-0.027,-0.003,2015,5sc05,11076,12.134,266943,705,-0.027,-0.003
