Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,2ba0603,1484,12.553,34570,196,-0.033,-0.010,2015,2ba0603,1484,12.553,34570,196,-0.033,-0.010
2015,2ce0000,1832,12.131,42028,188,-0.025,-0.023,2015,2ce0000,1832,12.131,42028,188,-0.025,-0.023
2015,2ce0001,503,12.653,10275,59,-0.029,-0.031,2015,2ce0001,503,12.653,10275,59,-0.029,-0.031
2015,2ce0002,763,12.077,18029,88,-0.031,-0.028,2015,2ce0002,763,12.077,18029,88,-0.031,-0.028
2015,2ce0100,2232,12.495,56941,230,-0.052,-0.032,2015,2ce0100,2232,12.495,56941,230,-0.052,-0.032
2015,2ce0101,812,12.406,20873,68,-0.028,-0.026,2015,2ce0101,812,12.406,20873,68,-0.028,-0.026
2015,2ce0102,556,12.267,12210,71,-0.029,-0.032,2015,2ce0102,556,12.267,12210,71,-0.029,-0.032
2015,2ce0103,389,12.462,8494,49,-0.006,-0.018,2015,2ce0103,389,12.462,8494,49,-0.006,-0.018
2015,2ce0200,23540,12.551,598695,1742,-0.057,-0.029,2015,2ce0200,23540,12.551,598695,1742,-0.057,-0.029
2015,2ce0201,992,12.382,27343,85,-0.008,-0.001,2015,2ce0201,992,12.382,27343,85,-0.008,-0.001
2015,2ce0300,547,12.342,12026,54,-0.022,-0.031,2015,2ce0300,547,12.342,12026,54,-0.022,-0.031
2015,2ce0301,2771,12.311,67054,338,-0.036,-0.030,2015,2ce0301,2771,12.311,67054,338,-0.036,-0.030
2015,2ce0302,1249,12.580,28173,158,-0.051,-0.041,2015,2ce0302,1249,12.580,28173,158,-0.051,-0.041
2015,2ce0303,3611,12.299,82704,377,-0.032,-0.023,2015,2ce0303,3611,12.299,82704,377,-0.032,-0.023
2015,2ce0304,218,12.542,5122,27,-0.031,-0.026,2015,2ce0304,218,12.542,5122,27,-0.031,-0.026
2015,2ce0305,668,12.495,14001,78,-0.051,-0.046,2015,2ce0305,668,12.495,14001,78,-0.051,-0.046
2015,2ce0306,3212,12.505,81629,285,-0.061,-0.035,2015,2ce0306,3212,12.505,81629,285,-0.061,-0.035
2015,2ce0400,917,12.452,24288,81,-0.025,-0.021,2015,2ce0400,917,12.452,24288,81,-0.025,-0.021
2015,2ce0401,1737,12.406,38189,177,-0.035,-0.029,2015,2ce0401,1737,12.406,38189,177,-0.035,-0.029
2015,2ce0402,1239,12.389,26259,183,-0.041,-0.033,2015,2ce0402,1239,12.389,26259,183,-0.041,-0.033
2015,2ce0403,1161,12.582,28097,111,-0.026,-0.025,2015,2ce0403,1161,12.582,28097,111,-0.026,-0.025
2015,2ce0404,535,12.559,13313,52,-0.035,-0.032,2015,2ce0404,535,12.559,13313,52,-0.035,-0.032
2015,2ce0405,1938,12.204,46493,207,-0.037,-0.030,2015,2ce0405,1938,12.204,46493,207,-0.037,-0.030
2015,2ce0406,859,12.338,17909,84,-0.040,-0.032,2015,2ce0406,859,12.338,17909,84,-0.040,-0.032
2015,2ce0407,1017,12.424,22355,105,-0.043,-0.036,2015,2ce0407,1017,12.424,22355,105,-0.043,-0.036
2015,2ce0500,2287,12.505,46913,276,-0.038,-0.037,2015,2ce0500,2287,12.505,46913,276,-0.038,-0.037
2015,2ce0501,1314,12.302,26394,204,-0.041,-0.037,2015,2ce0501,1314,12.302,26394,204,-0.041,-0.037
2015,2ce0502,2330,12.486,53349,287,-0.054,-0.035,2015,2ce0502,2330,12.486,53349,287,-0.054,-0.035
2015,2ce0503,1723,12.275,38985,192,-0.033,-0.037,2015,2ce0503,1723,12.275,38985,192,-0.033,-0.037
2015,2ce0600,795,12.433,17160,83,-0.051,-0.048,2015,2ce0600,795,12.433,17160,83,-0.051,-0.048
2015,2ce0601,847,12.209,18644,85,-0.016,-0.023,2015,2ce0601,847,12.209,18644,85,-0.016,-0.023
2015,2ce0602,4458,12.372,109473,397,-0.032,-0.020,2015,2ce0602,4458,12.372,109473,397,-0.032,-0.020
2015,2ce0603,523,12.325,12201,54,-0.036,-0.036,2015,2ce0603,523,12.325,12201,54,-0.036,-0.036
2015,2ce0604,947,12.280,20973,104,-0.032,-0.031,2015,2ce0604,947,12.280,20973,104,-0.032,-0.031
2015,2ma0000,4404,13.982,88467,845,0.032,-0.006,2015,2ma0000,4404,13.982,88467,845,0.032,-0.006
2015,2ma0001,4272,12.354,97389,822,-0.009,-0.014,2015,2ma0001,4272,12.354,97389,822,-0.009,-0.014
2015,2ma0002,2035,12.458,43998,357,-0.025,-0.021,2015,2ma0002,2035,12.458,43998,357,-0.025,-0.021
2015,2ma0100,1555,12.752,33718,303,-0.010,-0.024,2015,2ma0100,1555,12.752,33718,303,-0.010,-0.024
2015,2ma0101,3990,12.407,94504,677,-0.010,-0.019,2015,2ma0101,3990,12.407,94504,677,-0.010,-0.019
2015,2ma0102,2028,12.316,45622,368,-0.021,-0.021,2015,2ma0102,2028,12.316,45622,368,-0.021,-0.021
2015,2ma0103,2673,12.430,64317,493,0.015,0.009,2015,2ma0103,2673,12.430,64317,493,0.015,0.009
2015,2ma0104,2616,12.374,64711,487,-0.008,-0.006,2015,2ma0104,2616,12.374,64711,487,-0.008,-0.006
2015,2ma0105,951,12.376,23751,171,0.002,-0.006,2015,2ma0105,951,12.376,23751,171,0.002,-0.006
2015,2ma0200,9473,12.411,249879,758,-0.041,-0.019,2015,2ma0200,9473,12.411,249879,758,-0.041,-0.019
2015,2ma0201,6339,12.575,136230,1407,-0.017,-0.019,2015,2ma0201,6339,12.575,136230,1407,-0.017,-0.019
2015,2ma0202,2107,12.370,51081,454,0.020,-0.006,2015,2ma0202,2107,12.370,51081,454,0.020,-0.006
2015,2ma0203,2641,12.612,52051,519,-0.022,-0.011,2015,2ma0203,2641,12.612,52051,519,-0.022,-0.011
2015,2ma0204,1970,12.543,42427,351,-0.026,-0.028,2015,2ma0204,1970,12.543,42427,351,-0.026,-0.028
2015,2ma0205,1817,12.587,41760,349,-0.008,-0.010,2015,2ma0205,1817,12.587,41760,349,-0.008,-0.010
2015,2ma0300,2721,12.526,58747,465,-0.019,-0.016,2015,2ma0300,2721,12.526,58747,465,-0.019,-0.016
2015,2ma0301,5326,12.443,129873,698,-0.024,-0.022,2015,2ma0301,5326,12.443,129873,698,-0.024,-0.022
2015,2ma0302,7010,12.596,157231,1253,-0.031,-0.025,2015,2ma0302,7010,12.596,157231,1253,-0.031,-0.025
2015,2ma0400,738,12.293,16514,139,-0.035,-0.011,2015,2ma0400,738,12.293,16514,139,-0.035,-0.011
2015,2ma0401,1375,12.266,33462,186,-0.011,-0.010,2015,2ma0401,1375,12.266,33462,186,-0.011,-0.010
2015,2ma0402,1090,12.279,24688,176,-0.018,-0.024,2015,2ma0402,1090,12.279,24688,176,-0.018,-0.024
2015,2pb0000,1223,12.489,25042,224,-0.032,-0.032,2015,2pb0000,1223,12.489,25042,224,-0.032,-0.032
2015,2pb0001,4190,12.441,93271,547,-0.061,-0.032,2015,2pb0001,4190,12.441,93271,547,-0.061,-0.032
2015,2pb0002,1056,12.231,23603,189,-0.023,-0.023,2015,2pb0002,1056,12.231,23603,189,-0.023,-0.023
2015,2pb0003,817,12.366,17426,135,-0.050,-0.036,2015,2pb0003,817,12.366,17426,135,-0.050,-0.036
2015,2pb0004,479,12.282,10886,72,-0.001,-0.011,2015,2pb0004,479,12.282,10886,72,-0.001,-0.011
2015,2pb0005,1601,12.386,32747,252,-0.023,-0.027,2015,2pb0005,1601,12.386,32747,252,-0.023,-0.027
2015,2pb0006,1162,12.451,21648,195,-0.033,-0.031,2015,2pb0006,1162,12.451,21648,195,-0.033,-0.031
2015,2pb0007,601,12.634,10677,150,-0.020,-0.045,2015,2pb0007,601,12.634,10677,150,-0.020,-0.045
2015,2pb0100,1183,12.236,23397,184,-0.014,-0.018,2015,2pb0100,1183,12.236,23397,184,-0.014,-0.018
2015,2pb0101,702,12.467,12532,124,-0.017,-0.028,2015,2pb0101,702,12.467,12532,124,-0.017,-0.028
2015,2pb0102,354,12.290,6987,52,-0.058,-0.020,2015,2pb0102,354,12.290,6987,52,-0.058,-0.020
2015,2pb0103,695,12.394,15380,106,-0.038,-0.030,2015,2pb0103,695,12.394,15380,106,-0.038,-0.030
2015,2pb0200,7482,12.395,180098,681,-0.060,-0.017,2015,2pb0200,7482,12.395,180098,681,-0.060,-0.017
2015,2pb0201,1425,12.628,31190,224,-0.024,-0.030,2015,2pb0201,1425,12.628,31190,224,-0.024,-0.030
2015,2pb0202,774,12.204,18037,99,-0.023,-0.015,2015,2pb0202,774,12.204,18037,99,-0.023,-0.015
2015,2pb0203,1260,12.188,26148,198,-0.045,-0.026,2015,2pb0203,1260,12.188,26148,198,-0.045,-0.026
2015,2pb0300,1661,12.458,32322,287,-0.031,-0.031,2015,2pb0300,1661,12.458,32322,287,-0.031,-0.031
2015,2pb0301,996,12.138,20868,172,-0.019,-0.035,2015,2pb0301,996,12.138,20868,172,-0.019,-0.035
2015,2pb0302,974,12.331,15891,199,-0.030,-0.047,2015,2pb0302,974,12.331,15891,199,-0.030,-0.047
2015,2pb0303,1105,12.136,23854,156,-0.064,-0.022,2015,2pb0303,1105,12.136,23854,156,-0.064,-0.022
2015,2pb0304,753,12.468,13239,141,-0.033,-0.042,2015,2pb0304,753,12.468,13239,141,-0.033,-0.042
2015,2pb0305,1074,12.279,22768,179,-0.025,-0.034,2015,2pb0305,1074,12.279,22768,179,-0.025,-0.034
2015,2pb0306,1574,12.171,33287,238,-0.011,-0.023,2015,2pb0306,1574,12.171,33287,238,-0.011,-0.023
2015,2pe0000,2233,12.273,56488,235,-0.023,-0.010,2015,2pe0000,2233,12.273,56488,235,-0.023,-0.010
2015,2pe0001,1770,12.540,43262,291,-0.053,-0.038,2015,2pe0001,1770,12.540,43262,291,-0.053,-0.038
2015,2pe0002,3866,12.323,95903,568,-0.028,-0.025,2015,2pe0002,3866,12.323,95903,568,-0.028,-0.025
2015,2pe0003,2001,12.578,48088,279,-0.053,-0.039,2015,2pe0003,2001,12.578,48088,279,-0.053,-0.039
2015,2pe0004,1548,12.376,40412,290,-0.022,-0.026,2015,2pe0004,1548,12.376,40412,290,-0.022,-0.026
2015,2pe0005,6856,12.512,168165,928,-0.060,-0.027,2015,2pe0005,6856,12.512,168165,928,-0.060,-0.027
2015,2pe0100,4722,12.547,116136,705,-0.044,-0.027,2015,2pe0100,4722,12.547,116136,705,-0.044,-0.027
2015,2pe0101,4299,12.391,108531,486,-0.044,-0.023,2015,2pe0101,4299,12.391,108531,486,-0.044,-0.023
2015,2pe0102,1702,12.642,42510,228,-0.049,-0.036,2015,2pe0102,1702,12.642,42510,228,-0.049,-0.036
2015,2pe0200,17,11.589,338,1,-0.032,-0.006,2015,2pe0200,17,11.589,338,1,-0.032,-0.006
2015,2pe0201,1209,12.419,32287,129,-0.017,-0.019,2015,2pe0201,1209,12.419,32287,129,-0.017,-0.019
2015,2pe0202,21468,12.742,525650,1781,-0.160,-0.036,2015,2pe0202,21468,12.742,525650,1781,-0.160,-0.036
2015,2pe0203,2175,12.392,58647,228,-0.081,-0.017,2015,2pe0203,2175,12.392,58647,228,-0.081,-0.017
2015,2pe0300,1493,12.688,31459,260,-0.047,-0.013,2015,2pe0300,1493,12.688,31459,260,-0.047,-0.013
2015,2pe0301,4303,12.591,108874,416,-0.048,-0.008,2015,2pe0301,4303,12.591,108874,416,-0.048,-0.008
2015,2pe0400,3074,12.435,72407,473,-0.036,-0.020,2015,2pe0400,3074,12.435,72407,473,-0.036,-0.020
2015,2pe0401,2604,12.271,62497,369,-0.046,-0.030,2015,2pe0401,2604,12.271,62497,369,-0.046,-0.030
2015,2pe0402,1424,12.323,35835,221,-0.040,-0.023,2015,2pe0402,1424,12.323,35835,221,-0.040,-0.023
2015,2pe0403,1868,12.474,45078,249,-0.049,-0.016,2015,2pe0403,1868,12.474,45078,249,-0.049,-0.016
2015,2pi0000,2374,12.882,48337,421,-0.017,-0.027,2015,2pi0000,2374,12.882,48337,421,-0.017,-0.027
2015,2pi0001,1299,12.435,26991,219,-0.045,-0.025,2015,2pi0001,1299,12.435,26991,219,-0.045,-0.025
2015,2pi0002,7557,13.064,194453,752,-0.074,-0.037,2015,2pi0002,7557,13.064,194453,752,-0.074,-0.037
2015,2pi0003,1091,12.707,19740,191,-0.044,-0.037,2015,2pi0003,1091,12.707,19740,191,-0.044,-0.037
2015,2pi0100,3628,12.603,75547,605,-0.042,-0.029,2015,2pi0100,3628,12.603,75547,605,-0.042,-0.029
2015,2pi0101,2666,12.612,63418,429,-0.045,-0.028,2015,2pi0101,2666,12.612,63418,429,-0.045,-0.028
2015,2pi0200,2840,12.776,57112,476,-0.039,-0.031,2015,2pi0200,2840,12.776,57112,476,-0.039,-0.031
2015,2pi0201,2048,12.931,40851,347,-0.078,-0.031,2015,2pi0201,2048,12.931,40851,347,-0.078,-0.031
2015,2pi0202,498,12.418,10701,81,0.002,-0.038,2015,2pi0202,498,12.418,10701,81,0.002,-0.038
2015,2pi0300,1197,12.530,21196,184,-0.038,-0.023,2015,2pi0300,1197,12.530,21196,184,-0.038,-0.023
2015,2pi0301,586,12.310,10753,83,-0.014,-0.021,2015,2pi0301,586,12.310,10753,83,-0.014,-0.021
2015,2pi0302,479,12.254,8368,81,-0.035,-0.031,2015,2pi0302,479,12.254,8368,81,-0.035,-0.031
2015,2pi0303,1008,12.666,19512,168,-0.043,-0.029,2015,2pi0303,1008,12.666,19512,168,-0.043,-0.029
2015,2pi0304,1290,12.749,24752,209,-0.086,-0.034,2015,2pi0304,1290,12.749,24752,209,-0.086,-0.034
2015,2pi0305,1476,12.764,27838,234,-0.031,-0.033,2015,2pi0305,1476,12.764,27838,234,-0.031,-0.033
2015,2rn0000,2061,12.693,49573,273,-0.034,-0.028,2015,2rn0000,2061,12.693,49573,273,-0.034,-0.028
2015,2rn0001,642,12.928,15043,86,-0.020,-0.019,2015,2rn0001,642,12.928,15043,86,-0.020,-0.019
2015,2rn0002,1158,12.768,27092,203,-0.032,-0.034,2015,2rn0002,1158,12.768,27092,203,-0.032,-0.034
