Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,1am030001,217,12.690,4591,71,-0.035,0.011,2015,1am030001,217,12.690,4591,71,-0.035,0.011
2015,1am030100,143,12.742,2959,15,-0.078,-0.028,2015,1am030100,143,12.742,2959,15,-0.078,-0.028
2015,1am030101,561,13.007,9751,156,-0.044,0.002,2015,1am030101,561,13.007,9751,156,-0.044,0.002
2015,1am030102,550,12.767,12315,103,-0.072,-0.003,2015,1am030102,550,12.767,12315,103,-0.072,-0.003
2015,1am030103,680,12.952,12942,168,-0.021,0.005,2015,1am030103,680,12.952,12942,168,-0.021,0.005
2015,1am030104,251,12.963,5132,70,-0.043,0.005,2015,1am030104,251,12.963,5132,70,-0.043,0.005
2015,1am030200,128,12.404,2742,42,-0.099,-0.005,2015,1am030200,128,12.404,2742,42,-0.099,-0.005
2015,1am030201,513,13.200,10794,153,-0.058,-0.004,2015,1am030201,513,13.200,10794,153,-0.058,-0.004
2015,1am030202,231,13.213,5015,80,-0.026,-0.008,2015,1am030202,231,13.213,5015,80,-0.026,-0.008
2015,1ap000000,114,12.800,2215,18,-0.051,-0.033,2015,1ap000000,114,12.800,2215,18,-0.051,-0.033
2015,1ap000001,71,12.116,1168,12,0.050,-0.005,2015,1ap000001,71,12.116,1168,12,0.050,-0.005
2015,1ap000002,229,12.079,3686,35,0.024,-0.008,2015,1ap000002,229,12.079,3686,35,0.024,-0.008
2015,1ap000100,121,11.991,2601,16,-0.072,-0.008,2015,1ap000100,121,11.991,2601,16,-0.072,-0.008
2015,1ap000101,379,13.487,6361,46,-0.016,-0.004,2015,1ap000101,379,13.487,6361,46,-0.016,-0.004
2015,1ap010000,83,12.609,1211,13,-0.083,-0.040,2015,1ap010000,83,12.609,1211,13,-0.083,-0.040
2015,1ap010001,103,11.994,1947,9,0.017,0.023,2015,1ap010001,103,11.994,1947,9,0.017,0.023
2015,1ap010002,114,12.822,1591,21,0.023,0.002,2015,1ap010002,114,12.822,1591,21,0.023,0.002
2015,1ap010003,3855,12.540,98959,255,-0.042,-0.010,2015,1ap010003,3855,12.540,98959,255,-0.042,-0.010
2015,1ap010004,181,13.068,3260,27,-0.051,0.041,2015,1ap010004,181,13.068,3260,27,-0.051,0.041
2015,1ap010005,264,12.015,4934,31,0.008,0.009,2015,1ap010005,264,12.015,4934,31,0.008,0.009
2015,1ap010006,1074,12.369,26658,71,-0.015,-0.010,2015,1ap010006,1074,12.369,26658,71,-0.015,-0.010
2015,1ap010007,73,13.220,1328,8,0.007,-0.023,2015,1ap010007,73,13.220,1328,8,0.007,-0.023
2015,1ap010100,591,12.539,11287,65,-0.015,-0.008,2015,1ap010100,591,12.539,11287,65,-0.015,-0.008
2015,1ap010101,322,12.333,5697,68,0.040,-0.004,2015,1ap010101,322,12.333,5697,68,0.040,-0.004
2015,1ap010102,169,12.691,3670,25,-0.003,-0.022,2015,1ap010102,169,12.691,3670,25,-0.003,-0.022
2015,1pa000000,613,12.834,9895,71,-0.008,-0.005,2015,1pa000000,613,12.834,9895,71,-0.008,-0.005
2015,1pa000001,536,14.666,13218,136,0.001,-0.002,2015,1pa000001,536,14.666,13218,136,0.001,-0.002
2015,1pa000100,95,11.954,2050,19,-0.028,0.003,2015,1pa000100,95,11.954,2050,19,-0.028,0.003
